doses;profundidade;epoca;rep;amilase
D1;P1;E1;1;8.24
D1;P1;E1;2;8.28
D1;P1;E1;3;8.24
D1;P1;E1;4;8.25
D1;P1;E2;1;17.23
D1;P1;E2;2;17.25
D1;P1;E2;3;17.26
D1;P1;E2;4;17.27
D1;P2;E1;1;6.63
D1;P2;E1;2;6.67
D1;P2;E1;3;6.66
D1;P2;E1;4;6.65
D1;P2;E2;1;17.23
D1;P2;E2;2;17.24
D1;P2;E2;3;17.27
D1;P2;E2;4;17.26
D1;P3;E1;1;5.5
D1;P3;E1;2;5.5
D1;P3;E1;3;5.41
D1;P3;E1;4;5.48
D1;P3;E2;1;17.31
D1;P3;E2;2;17.29
D1;P3;E2;3;17.3
D1;P3;E2;4;17.3
D2;P1;E1;1;8.25
D2;P1;E1;2;8.25
D2;P1;E1;3;8.23
D2;P1;E1;4;8.25
D2;P1;E2;1;17.24
D2;P1;E2;2;17.28
D2;P1;E2;3;17.28
D2;P1;E2;4;17.24
D2;P2;E1;1;6.66
D2;P2;E1;2;6.66
D2;P2;E1;3;6.67
D2;P2;E1;4;6.67
D2;P2;E2;1;17.22
D2;P2;E2;2;17.23
D2;P2;E2;3;17.2
D2;P2;E2;4;17.2
D2;P3;E1;1;5.52
D2;P3;E1;2;5.51
D2;P3;E1;3;5.46
D2;P3;E1;4;5.44
D2;P3;E2;1;17.27
D2;P3;E2;2;17.3
D2;P3;E2;3;17.27
D2;P3;E2;4;17.27
D3;P1;E1;1;8.25
D3;P1;E1;2;8.25
D3;P1;E1;3;8.26
D3;P1;E1;4;8.27
D3;P1;E2;1;17.26
D3;P1;E2;2;17.26
D3;P1;E2;3;17.17
D3;P1;E2;4;17.27
D3;P2;E1;1;6.67
D3;P2;E1;2;6.68
D3;P2;E1;3;6.64
D3;P2;E1;4;6.65
D3;P2;E2;1;17.26
D3;P2;E2;2;17.25
D3;P2;E2;3;17.27
D3;P2;E2;4;17.21
D3;P3;E1;1;5.42
D3;P3;E1;2;5.51
D3;P3;E1;3;5.48
D3;P3;E1;4;5.5
D3;P3;E2;1;17.32
D3;P3;E2;2;17.34
D3;P3;E2;3;17.33
D3;P3;E2;4;17.3
D4;P1;E1;1;8.3
D4;P1;E1;2;8.26
D4;P1;E1;3;8.26
D4;P1;E1;4;8.24
D4;P1;E2;1;17.25
D4;P1;E2;2;17.25
D4;P1;E2;3;17.26
D4;P1;E2;4;17.26
D4;P2;E1;1;6.66
D4;P2;E1;2;6.67
D4;P2;E1;3;6.69
D4;P2;E1;4;6.68
D4;P2;E2;1;17.01
D4;P2;E2;2;17.21
D4;P2;E2;3;17.25
D4;P2;E2;4;17.19
D4;P3;E1;1;5.4
D4;P3;E1;2;5.48
D4;P3;E1;3;5.5
D4;P3;E1;4;5.5
D4;P3;E2;1;17.37
D4;P3;E2;2;17.32
D4;P3;E2;3;17.31
D4;P3;E2;4;17.31
D5;P1;E1;1;8.27
D5;P1;E1;2;8.27
D5;P1;E1;3;8.26
D5;P1;E1;4;8.28
D5;P1;E2;1;17.26
D5;P1;E2;2;17.26
D5;P1;E2;3;17.27
D5;P1;E2;4;17.26
D5;P2;E1;1;6.69
D5;P2;E1;2;6.66
D5;P2;E1;3;6.69
D5;P2;E1;4;6.69
D5;P2;E2;1;17.25
D5;P2;E2;2;17.23
D5;P2;E2;3;17.24
D5;P2;E2;4;17.28
D5;P3;E1;1;5.47
D5;P3;E1;2;5.41
D5;P3;E1;3;5.46
D5;P3;E1;4;5.49
D5;P3;E2;1;17.34
D5;P3;E2;2;17.28
D5;P3;E2;3;17.27
D5;P3;E2;4;17.27
