fatorA;fatorB;bloco;teor
A1;B1;bloco1;2.9
A1;B1;bloco2;3.8
A1;B1;bloco3;4.3
A1;B2;bloco1;3.2
A1;B2;bloco2;5.6
A1;B2;bloco3;6.2
A1;B3;bloco1;3.4
A1;B3;bloco2;5.7
A1;B3;bloco3;6.5
A1;B4;bloco1;3.4
A1;B4;bloco2;3.8
A1;B4;bloco3;4.8
A1;B5;bloco1;3.6
A1;B5;bloco2;2.5
A1;B5;bloco3;5.8
A1;B6;bloco1;4.5
A1;B6;bloco2;3.4
A1;B6;bloco3;5.4
A1;B7;bloco1;3.4
A1;B7;bloco2;5.6
A1;B7;bloco3;4.8
A2;B1;bloco1;3.2
A2;B1;bloco2;5.7
A2;B1;bloco3;8.5
A2;B2;bloco1;4.9
A2;B2;bloco2;4.7
A2;B2;bloco3;7
A2;B3;bloco1;5.4
A2;B3;bloco2;5.5
A2;B3;bloco3;8.3
A2;B4;bloco1;4.6
A2;B4;bloco2;6.1
A2;B4;bloco3;7.2
A2;B5;bloco1;4.8
A2;B5;bloco2;5.9
A2;B5;bloco3;6
A2;B6;bloco1;17
A2;B6;bloco2;16
A2;B6;bloco3;9.1
A2;B7;bloco1;6.6
A2;B7;bloco2;20
A2;B7;bloco3;8.6
A3;B1;bloco1;2.9
A3;B1;bloco2;3.4
A3;B1;bloco3;6.6
A3;B2;bloco1;2.6
A3;B2;bloco2;4.1
A3;B2;bloco3;4
A3;B3;bloco1;4.3
A3;B3;bloco2;5.1
A3;B3;bloco3;4.6
A3;B4;bloco1;2.5
A3;B4;bloco2;6.6
A3;B4;bloco3;4
A3;B5;bloco1;3.5
A3;B5;bloco2;6.1
A3;B5;bloco3;4.9
A3;B6;bloco1;3.7
A3;B6;bloco2;4.3
A3;B6;bloco3;5.3
A3;B7;bloco1;4
A3;B7;bloco2;4.4
A3;B7;bloco3;4.9
A4;B1;bloco1;2.6
A4;B1;bloco2;2.6
A4;B1;bloco3;4.3
A4;B2;bloco1;2.8
A4;B2;bloco2;2.5
A4;B2;bloco3;5.4
A4;B3;bloco1;4
A4;B3;bloco2;5.3
A4;B3;bloco3;4.7
A4;B4;bloco1;2.5
A4;B4;bloco2;4.9
A4;B4;bloco3;3.9
A4;B5;bloco1;3.1
A4;B5;bloco2;4.6
A4;B5;bloco3;5.8
A4;B6;bloco1;3.4
A4;B6;bloco2;3.6
A4;B6;bloco3;5.3
A4;B7;bloco1;4.4
A4;B7;bloco2;4.1
A4;B7;bloco3;4.5
