tratamentos;ensaio;bloco;pclas
0dia;E1;bloco1;72.22
0dia;E1;bloco2;59.78
0dia;E1;bloco3;63.24
0dia;E1;bloco4;69.68
10dias;E1;bloco1;74.84
10dias;E1;bloco2;60.57
10dias;E1;bloco3;56.2
10dias;E1;bloco4;57.42
20dias;E1;bloco1;78.87
20dias;E1;bloco2;78.72
20dias;E1;bloco3;66.41
20dias;E1;bloco4;67.7
30dias;E1;bloco1;70.28
30dias;E1;bloco2;65.5
30dias;E1;bloco3;65.65
30dias;E1;bloco4;64.49
mono;E1;bloco1;66.23
mono;E1;bloco2;69.58
mono;E1;bloco3;54.2
mono;E1;bloco4;66.09
0dia;E2;bloco1;69.49
0dia;E2;bloco2;62.98
0dia;E2;bloco3;68.78
0dia;E2;bloco4;66.11
10dias;E2;bloco1;72.23
10dias;E2;bloco2;75.29
10dias;E2;bloco3;66.96
10dias;E2;bloco4;66.52
20dias;E2;bloco1;64.39
20dias;E2;bloco2;60.54
20dias;E2;bloco3;65.68
20dias;E2;bloco4;56.67
30dias;E2;bloco1;69.74
30dias;E2;bloco2;72.64
30dias;E2;bloco3;72.83
30dias;E2;bloco4;61.1
mono;E2;bloco1;60.95
mono;E2;bloco2;69.29
mono;E2;bloco3;70.25
mono;E2;bloco4;53.69
0dia;E3;bloco1;88.42
0dia;E3;bloco2;74.49
0dia;E3;bloco3;76.01
0dia;E3;bloco4;78.76
10dias;E3;bloco1;89.3
10dias;E3;bloco2;85.05
10dias;E3;bloco3;91.69
10dias;E3;bloco4;85.69
20dias;E3;bloco1;82.04
20dias;E3;bloco2;89.89
20dias;E3;bloco3;83.73
20dias;E3;bloco4;87.37
30dias;E3;bloco1;91.16
30dias;E3;bloco2;90.41
30dias;E3;bloco3;86.11
30dias;E3;bloco4;86.56
mono;E3;bloco1;90.67
mono;E3;bloco2;92.04
mono;E3;bloco3;86.79
mono;E3;bloco4;86.88
0dia;E4;bloco1;82.76
0dia;E4;bloco2;84.58
0dia;E4;bloco3;85.85
0dia;E4;bloco4;86.19
10dias;E4;bloco1;85.78
10dias;E4;bloco2;86.94
10dias;E4;bloco3;86.37
10dias;E4;bloco4;89.74
20dias;E4;bloco1;84.77
20dias;E4;bloco2;83.39
20dias;E4;bloco3;79.64
20dias;E4;bloco4;89.19
30dias;E4;bloco1;86.33
30dias;E4;bloco2;82.95
30dias;E4;bloco3;85.56
30dias;E4;bloco4;92
mono;E4;bloco1;84.18
mono;E4;bloco2;85.12
mono;E4;bloco3;83.06
mono;E4;bloco4;76.69
