inseticida;dose;producao
inseticida1;dose1;58
inseticida1;dose1;45
inseticida1;dose1;47
inseticida1;dose2;61
inseticida1;dose2;65
inseticida1;dose2;47
inseticida2;dose1;31
inseticida2;dose1;35
inseticida2;dose1;29
inseticida2;dose2;43
inseticida2;dose2;51
inseticida2;dose2;49
inseticida3;dose1;45
inseticida3;dose1;55
inseticida3;dose1;79
inseticida3;dose2;31
inseticida3;dose2;37
inseticida3;dose2;37
inseticida4;dose1;78
inseticida4;dose1;83
inseticida4;dose1;62
inseticida4;dose2;36
inseticida4;dose2;34
inseticida4;dose2;34
