espacamento;densidade;bloco;massa_verde
25;15;bloco1;46.82
25;15;bloco2;30.705
25;15;bloco3;59.77
25;30;bloco1;31.04
25;30;bloco2;28.41
25;30;bloco3;25.1
25;45;bloco1;47.325
25;45;bloco2;50.445
25;45;bloco3;29.01
50;15;bloco1;26.3875
50;15;bloco2;15.61
50;15;bloco3;15.12
50;30;bloco1;32.765
50;30;bloco2;33.615
50;30;bloco3;32.115
50;45;bloco1;37.455
50;45;bloco2;21.4125
50;45;bloco3;21.21
75;15;bloco1;12.6116
75;15;bloco2;10.4015
75;15;bloco3;26.2095
75;30;bloco1;23.4776
75;30;bloco2;24.1842
75;30;bloco3;18.1548
75;45;bloco1;26.3297
75;45;bloco2;24.0652
75;45;bloco3;33.8482
