nitrogenio;fosfoso;potassio;bloco;altura
N0;P0;K0;bloco1;48
N0;P0;K0;bloco2;38.8
N0;P0;K0;bloco3;51.4
N0;P0;K0;bloco4;35.1
N0;P0;K0;bloco5;51.7
N0;P0;K0;bloco6;27.8
N0;P0;K1;bloco1;37.2
N0;P0;K1;bloco2;22.7
N0;P0;K1;bloco3;30.9
N0;P0;K1;bloco4;41.1
N0;P0;K1;bloco5;48.3
N0;P0;K1;bloco6;40.1
N0;P1;K0;bloco1;32.2
N0;P1;K0;bloco2;48.8
N0;P1;K0;bloco3;35.4
N0;P1;K0;bloco4;49.7
N0;P1;K0;bloco5;22.5
N0;P1;K0;bloco6;59.4
N0;P1;K1;bloco1;44.8
N0;P1;K1;bloco2;46.5
N0;P1;K1;bloco3;28.1
N0;P1;K1;bloco4;38.3
N0;P1;K1;bloco5;40.8
N0;P1;K1;bloco6;47.9
N1;P0;K0;bloco1;35.5
N1;P0;K0;bloco2;43.8
N1;P0;K0;bloco3;36.6
N1;P0;K0;bloco4;21
N1;P0;K0;bloco5;51.1
N1;P0;K0;bloco6;36.3
N1;P0;K1;bloco1;49.6
N1;P0;K1;bloco2;40.2
N1;P0;K1;bloco3;29.8
N1;P0;K1;bloco4;37.9
N1;P0;K1;bloco5;41.8
N1;P0;K1;bloco6;41.7
N1;P1;K0;bloco1;64.5
N1;P1;K0;bloco2;41.9
N1;P1;K0;bloco3;48.5
N1;P1;K0;bloco4;66.4
N1;P1;K0;bloco5;75.7
N1;P1;K0;bloco6;63.8
N1;P1;K1;bloco1;56.5
N1;P1;K1;bloco2;49.1
N1;P1;K1;bloco3;48.5
N1;P1;K1;bloco4;45.1
N1;P1;K1;bloco5;57.8
N1;P1;K1;bloco6;64.9
