epoca;variedade;bloco;producao
epoca1;vicoja;bloco1;2.9166
epoca1;vicoja;bloco2;2.8833
epoca1;vicoja;bloco3;2.475
epoca1;santa_rosa;bloco1;2.6416
epoca1;santa_rosa;bloco2;3.6666
epoca1;santa_rosa;bloco3;3.6166
epoca2;vicoja;bloco1;3.4889
epoca2;vicoja;bloco2;3.5833
epoca2;vicoja;bloco3;3.3333
epoca2;santa_rosa;bloco1;4.0583
epoca2;santa_rosa;bloco2;4.3
epoca2;santa_rosa;bloco3;2.9083
epoca3;vicoja;bloco1;2.3166
epoca3;vicoja;bloco2;2.8666
epoca3;vicoja;bloco3;2.4916
epoca3;santa_rosa;bloco1;3.45
epoca3;santa_rosa;bloco2;3.7666
epoca3;santa_rosa;bloco3;3.5333
epoca4;vicoja;bloco1;2.7916
epoca4;vicoja;bloco2;2.7583
epoca4;vicoja;bloco3;3.1916
epoca4;santa_rosa;bloco1;3.4166
epoca4;santa_rosa;bloco2;2.7416
epoca4;santa_rosa;bloco3;3.5083
epoca5;vicoja;bloco1;3.5583
epoca5;vicoja;bloco2;3.1583
epoca5;vicoja;bloco3;2.7916
epoca5;santa_rosa;bloco1;3.5
epoca5;santa_rosa;bloco2;3.1166
epoca5;santa_rosa;bloco3;3.0916
epoca6;vicoja;bloco1;2.7833
epoca6;vicoja;bloco2;2.5166
epoca6;vicoja;bloco3;2.125
epoca6;santa_rosa;bloco1;2.5583
epoca6;santa_rosa;bloco2;2.5666
epoca6;santa_rosa;bloco3;2.0416
epoca7;vicoja;bloco1;2.3
epoca7;vicoja;bloco2;2.2083
epoca7;vicoja;bloco3;2.0666
epoca7;santa_rosa;bloco1;1.425
epoca7;santa_rosa;bloco2;1.9166
epoca7;santa_rosa;bloco3;1.875
epoca8;vicoja;bloco1;1.1666
epoca8;vicoja;bloco2;1.6916
epoca8;vicoja;bloco3;1.4666
epoca8;santa_rosa;bloco1;2.0083
epoca8;santa_rosa;bloco2;1.7833
epoca8;santa_rosa;bloco3;1.7416
